DateTime,Robot_X,Robot_Y,Robot_Angle,Ball_X,Ball_Y
09.02.2024 21:48:33,0.0745472,1.1057,-0.0436877,0.120965,1.11295
09.02.2024 21:48:33,0.0947829,1.10406,-0.0163089,0.119443,1.12132
09.02.2024 21:48:33,0.0955049,1.10554,-0.0162029,0.119665,1.1214
09.02.2024 21:48:33,0.0934046,1.1047,-0.0162428,0.119685,1.12141
09.02.2024 21:48:33,0.0948914,1.10513,-0.0163561,0.119452,1.12116
09.02.2024 21:48:33,0.0944669,1.10628,-0.0162835,0.119395,1.12039
09.02.2024 21:48:33,0.0957931,1.10566,-0.0164287,0.119412,1.1203
09.02.2024 21:48:33,-0.134953,1.11074,-0.0318259,0.123337,1.33779
09.02.2024 21:48:34,-0.134529,1.10961,-0.0318259,0.123337,1.33779
09.02.2024 21:48:34,-0.136146,1.10889,-0.0318814,0.123304,1.33772
09.02.2024 21:48:34,-0.134706,1.10876,-0.0318132,0.123588,1.33788
09.02.2024 21:48:34,-0.135617,1.10817,-0.0318226,0.12335,1.33796
09.02.2024 21:48:34,-0.134772,1.10973,-0.0318226,0.12335,1.33796
09.02.2024 21:48:34,-0.158918,1.11812,-0.0337777,0.135481,1.36092
09.02.2024 21:48:34,-0.157724,1.11899,-0.0337807,0.135468,1.36074
09.02.2024 21:48:34,-0.159482,1.11901,-0.0337807,0.135468,1.36074
09.02.2024 21:48:34,-0.160096,1.11849,-0.0338257,0.135478,1.36076
09.02.2024 21:48:34,-0.160207,1.11798,-0.0337807,0.135468,1.36074
09.02.2024 21:48:34,-0.15662,1.12355,-0.0388618,0.138708,1.3515
09.02.2024 21:48:34,-0.156872,1.12347,-0.0387824,0.138862,1.35236
09.02.2024 21:48:35,-0.156013,1.12434,-0.0386834,0.139093,1.35244
09.02.2024 21:48:35,-0.15453,1.12449,-0.0388273,0.138872,1.35237
09.02.2024 21:48:35,-0.156034,1.12129,-0.0388273,0.138872,1.35237
09.02.2024 21:48:35,-0.15579,1.12341,-0.0388335,0.138851,1.35158
09.02.2024 21:48:35,-0.146563,1.11151,-0.0423787,0.125037,1.33952
09.02.2024 21:48:35,-0.148395,1.11224,-0.0423171,0.125505,1.3389
09.02.2024 21:48:35,-0.147628,1.11219,-0.0424235,0.125048,1.33953
09.02.2024 21:48:35,-0.146919,1.11244,-0.04243,0.125027,1.33874
09.02.2024 21:48:35,-0.147666,1.11085,-0.0423787,0.125037,1.33952
09.02.2024 21:48:35,-0.145614,1.10987,-0.0424235,0.125048,1.33953
09.02.2024 21:48:35,-0.201301,1.03846,0.0389035,0.0754916,1.478
09.02.2024 21:48:35,-0.201272,1.03773,0.0389064,0.0755246,1.4779
09.02.2024 21:48:35,-0.200825,1.03875,0.0388605,0.0755291,1.47792
09.02.2024 21:48:36,-0.200774,1.03861,0.0388305,0.0757109,1.47714
09.02.2024 21:48:36,-0.199269,1.038,0.0388605,0.0755291,1.47792
09.02.2024 21:48:36,-0.200184,1.03681,0.0386629,0.0755272,1.47702
09.02.2024 21:48:36,-0.181089,1.02658,0.0459795,0.0607398,1.46469
09.02.2024 21:48:36,-0.180365,1.02515,0.0459527,0.0604952,1.4646
09.02.2024 21:48:36,-0.180112,1.0246,0.0459527,0.0604952,1.4646
09.02.2024 21:48:36,-0.180307,1.02584,0.0459795,0.0607398,1.46469
09.02.2024 21:48:36,-0.181349,1.02536,0.0459527,0.0604952,1.4646
09.02.2024 21:48:36,-0.182117,1.02496,0.0459527,0.0604952,1.4646
09.02.2024 21:48:36,-0.191808,1.02239,0.0311042,0.0565698,1.45864
09.02.2024 21:48:36,-0.189093,1.02303,0.0310532,0.0565295,1.45858
09.02.2024 21:48:36,-0.188342,1.02349,0.0310862,0.0563794,1.45848
09.02.2024 21:48:37,-0.187703,1.02226,0.0308647,0.0565964,1.4585
09.02.2024 21:48:37,-0.188906,1.02335,0.031076,0.0563253,1.45856
09.02.2024 21:48:37,-0.190248,1.0238,0.031076,0.0563253,1.45856
09.02.2024 21:48:37,-0.191469,1.03791,0.0346659,0.0728082,1.46323
09.02.2024 21:48:37,-0.19021,1.03795,0.0346386,0.0725511,1.46298
09.02.2024 21:48:37,-0.191204,1.03774,0.0346572,0.0723014,1.46289
09.02.2024 21:48:37,-0.191536,1.03737,0.0346844,0.072546,1.46297
09.02.2024 21:48:37,-0.191457,1.0388,0.0346844,0.072546,1.46297
09.02.2024 21:48:37,-0.191174,1.03847,0.0346572,0.0723014,1.46289
09.02.2024 21:48:37,-0.18993,1.0102,0.0401008,0.044581,1.46711
09.02.2024 21:48:37,-0.189992,1.0085,0.0398907,0.0448721,1.46784
09.02.2024 21:48:37,-0.190048,1.01222,0.0401455,0.0445525,1.46781
09.02.2024 21:48:37,-0.190216,1.00763,0.0401504,0.0445981,1.46789
09.02.2024 21:48:38,-0.189831,1.00942,0.0401504,0.0445981,1.46789
09.02.2024 21:48:38,-0.190971,1.01041,0.0401455,0.0445525,1.46781
09.02.2024 21:48:38,-0.198747,0.992665,0.0300675,0.0272801,1.46551
09.02.2024 21:48:38,-0.197887,0.991254,0.0298505,0.0270771,1.46606
09.02.2024 21:48:38,-0.197664,0.990902,0.0300675,0.0272801,1.46551
09.02.2024 21:48:38,-0.197516,0.990883,0.0300708,0.0273021,1.4663
09.02.2024 21:48:38,-0.197681,0.991515,0.0301133,0.0272641,1.46638
09.02.2024 21:48:38,-0.196451,0.990974,0.0300445,0.0270574,1.46622
09.02.2024 21:48:38,-0.199587,1.01532,0.0309591,0.0497568,1.46757
09.02.2024 21:48:38,-0.199996,1.01384,0.0310135,0.0498195,1.46843
09.02.2024 21:48:38,-0.199427,1.01491,0.0309902,0.0500472,1.46773
09.02.2024 21:48:38,-0.200116,1.01525,0.0310135,0.0498195,1.46843
09.02.2024 21:48:39,-0.200277,1.01534,0.0310393,0.0500643,1.46851
09.02.2024 21:48:39,-0.190485,1.01189,0.0358357,0.0466751,1.46542
09.02.2024 21:48:39,-0.190912,1.01098,0.03579,0.0466802,1.46544
09.02.2024 21:48:39,-0.191078,1.01119,0.0357584,0.0463899,1.46528
09.02.2024 21:48:39,-0.192049,1.01222,0.0357634,0.0464355,1.46536
09.02.2024 21:48:39,-0.191592,1.01216,0.0357634,0.0464355,1.46536
09.02.2024 21:48:39,-0.191944,1.01078,0.0358075,0.0464179,1.46517
09.02.2024 21:48:39,-0.191378,1.0243,0.0371139,0.0607635,1.46585
09.02.2024 21:48:39,-0.192008,1.02378,0.037163,0.0607805,1.46663
09.02.2024 21:48:39,-0.19286,1.02623,0.0371123,0.0607399,1.46657
09.02.2024 21:48:39,-0.191616,1.02545,0.0371368,0.0605358,1.46655
09.02.2024 21:48:39,-0.191089,1.0252,0.0371368,0.0605358,1.46655
09.02.2024 21:48:40,-0.192269,1.02276,0.0371368,0.0605358,1.46655
09.02.2024 21:48:40,-0.202053,1.02073,0.0270463,0.0577854,1.46676
09.02.2024 21:48:40,-0.203245,1.02228,0.0270617,0.0579523,1.46764
09.02.2024 21:48:40,-0.202811,1.02234,0.0271335,0.0581921,1.4677
09.02.2024 21:48:40,-0.20308,1.0199,0.0270617,0.0579523,1.46764
09.02.2024 21:48:40,-0.20243,1.02173,0.027058,0.0579304,1.46684
09.02.2024 21:48:40,-0.200847,1.0176,0.0286254,0.0548821,1.46914
